index radius fiPEG fiRNA psi
126 9.0 0.015 0.0 92.01739626987211
127 9.0 0.015 0.0 92.01739626987211
128 11.339289449053856 0.014999999999999998 0.0 95.64227229666905
129 9.0 0.015 0.0 92.01739626987211
130 9.0 0.015 0.0 92.01739626987211
131 9.0 0.015 0.0 92.01739626987211
132 9.0 0.015 0.0 92.01739626987211
133 9.0 0.015 0.0 92.01739626987211
134 9.0 0.015 0.0 92.01739626987211
135 9.0 0.015 0.0 92.01739626987211
136 9.0 0.015 0.0 92.01739626987211
137 9.0 0.015 0.0 92.01739626987211
138 9.0 0.015 0.0 92.01739626987211
139 9.0 0.015 0.0 92.01739626987211
140 9.0 0.015 0.0 92.01739626987211
141 9.0 0.015 0.0 92.01739626987211
142 9.0 0.015 0.0 92.01739626987211
143 9.0 0.015 0.0 92.01739626987211
144 9.0 0.015 0.0 92.01739626987211
145 9.0 0.015 0.0 92.01739626987211
146 9.0 0.015 0.0 92.01739626987211
147 9.0 0.015 0.0 92.01739626987211
148 9.0 0.015 0.0 92.01739626987211
149 9.0 0.015 0.0 92.01739626987211
150 9.0 0.015 0.0 92.01739626987211
151 9.0 0.015 0.0 92.01739626987211
152 9.0 0.015 0.0 92.01739626987211
153 11.339289449053856 0.014999999999999998 0.0 95.64227229666905
154 9.0 0.015 0.0 92.01739626987211
155 9.0 0.015 0.0 92.01739626987211
156 9.0 0.015 0.0 92.01739626987211
157 9.0 0.015 0.0 92.01739626987211
158 9.0 0.015 0.0 92.01739626987211
159 9.0 0.015 0.0 92.01739626987211
160 9.0 0.015 0.0 92.01739626987211
161 9.0 0.015 0.0 92.01739626987211
162 11.339289449053856 0.014999999999999998 0.0 95.64227229666905
163 9.0 0.015 0.0 92.01739626987211
164 9.0 0.015 0.0 92.01739626987211
165 11.339289449053856 0.014999999999999998 0.0 95.64227229666905
166 9.0 0.015 0.0 92.01739626987211
167 9.0 0.015 0.0 92.01739626987211
168 9.0 0.015 0.0 92.01739626987211
169 9.0 0.015 0.0 92.01739626987211
170 9.0 0.015 0.0 92.01739626987211
171 9.0 0.015 0.0 92.01739626987211
172 9.0 0.015 0.0 92.01739626987211
