PID,Final_Radius_nm,fiPEG,fiRNA,Birth_Time,Merge_Count,Num_Ancestors,Num_Parents,Num_Children,Is_Initial
218,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
220,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
221,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
222,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
224,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
225,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
226,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
228,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
229,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
230,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
231,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
232,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
233,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
234,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
235,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
236,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
237,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
238,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
239,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
241,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
242,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
246,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
247,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
248,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
249,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
250,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
251,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
252,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
253,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
254,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
256,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
258,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
260,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
261,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
263,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
264,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
265,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
266,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
268,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
269,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
270,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
271,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
272,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
273,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
274,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
277,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
278,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
281,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
282,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
283,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
284,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
285,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
286,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
287,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
289,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
290,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
291,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
292,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
293,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
294,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
295,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
296,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
299,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
300,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
301,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
304,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
305,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
306,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
307,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
308,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
309,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
310,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
312,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
314,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
315,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
316,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
317,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
318,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
320,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
321,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
322,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
323,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
324,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
326,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
327,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
330,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
331,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
332,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
334,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
335,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
336,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
337,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
338,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
339,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
340,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
341,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
342,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
343,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
344,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
345,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
346,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
347,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
348,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
349,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
350,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
351,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
353,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
355,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
356,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
357,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
358,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
359,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
360,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
361,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
364,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
365,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
366,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
367,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
368,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
369,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
370,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
371,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
372,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
373,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
375,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
376,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
377,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
381,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
383,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
385,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
387,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
388,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
390,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
391,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
392,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
393,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
394,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
395,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
397,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
398,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
399,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
